Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,15',2:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,41',0:3,Right-footed shot,Mario Götze,Polaco
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,67',0:4,Right-footed shot,Mario Götze,Polaco
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,12',1:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,43',1:2,Right-footed shot,Mario Götze,Polaco
Bundesliga ,17,12/16/12,Away,Borussia Dortmund,TSG 1899 Hoffenheim,1:3,CF,66',1:3,Left-footed shot,Ilkay Gündogan,Polaco
DFB-Pokal ,Round of 16,12/19/12,Home,Borussia Dortmund,Hannover 96,5:1,CF,90',5:1,Right-footed shot,Leonardo Bittencourt,Polaco
Bundesliga ,18,1/19/13,Away,Borussia Dortmund,SV Werder Bremen,0:5,CF,81',0:4,Left-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,19,1/25/13,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,88',3:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,20,2/3/13,Away,Borussia Dortmund,Bayer 04 Leverkusen,2:3,CF,63',2:3,Right-footed shot,Mario Götze,Polaco
Bundesliga ,21,2/9/13,Home,Borussia Dortmund,Hamburger SV,1:4,CF,17',1:0,Right-footed shot,Mats Hummels,Polaco
Champions League ,last 16,2/13/13,Away,Borussia Dortmund,Shakhtar Donetsk,2:2,CF,41',1:1,Right-footed shot,Mario Götze,Polaco
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,8',1:0,Right-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,21',2:0,Tap-in,Kevin Großkreutz,Polaco
Bundesliga ,25,3/9/13,Away,Borussia Dortmund,FC Schalke 04,2:1,CF,59',2:1,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,41',1:1,Header,Nuri Sahin,Polaco
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,45'+1,3:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,27,3/30/13,Away,Borussia Dortmund,VfB Stuttgart,1:2,CF,82',1:2,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,28,4/6/13,Home,Borussia Dortmund,FC Augsburg,4:2,SS,90'+2,4:2,Right-footed shot,Mario Götze,Polaco
Champions League ,Quarter-Finals,4/9/13,Home,Borussia Dortmund,Málaga CF,3:2,CF,40',1:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,29,4/13/13,Away,Borussia Dortmund,SpVgg Greuther Fürth,1:6,CF,80',1:6,Left-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,30,4/20/13,Home,Borussia Dortmund,1.FSV Mainz 05,2:0,CF,87',2:0,Right-footed shot,Lukasz Piszczek,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,8',1:0,Right-footed shot,Mario Götze,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,50',2:1,Right-footed shot,Marco Reus,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,55',3:1,Right-footed shot,Marcel Schmelzer,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,67',4:1,Penalty,Not Applicable,Polaco
Bundesliga ,34,5/18/13,Home,Borussia Dortmund,TSG 1899 Hoffenheim,1:2,CF,6',1:0,Tap-in,Jakub Blaszczykowski,Polaco
DFB-Pokal ,First Round,8/3/13,Away,Borussia Dortmund,SV Wilhelmshaven,0:3,CF,90',0:3,Right-footed shot,Jonas Hofmann,Polaco
Bundesliga ,1,8/10/13,Away,Borussia Dortmund,FC Augsburg,0:4,CF,86',0:4,Penalty,Not Applicable,Polaco
Bundesliga ,3,8/23/13,Home,Borussia Dortmund,SV Werder Bremen,1:0,CF,55',1:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,5,9/14/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,73',4:2,Right-footed shot,Pierre-Emerick Aubameyang,Polaco
Bundesliga ,5,9/14/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,81',6:2,Header,Nuri Sahin,Polaco
Bundesliga ,7,9/28/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,58',3:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,7,9/28/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,70',4:0,Left-footed shot,Jonas Hofmann,Polaco
Champions League ,Group Stage,10/1/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,19',1:0,Left-footed shot,Erik Durm,Polaco
Champions League ,Group Stage,10/1/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,80',3:0,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,10/22/13,Away,Borussia Dortmund,Arsenal FC,1:2,CF,82',1:2,Right-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,54',3:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,56',4:1,Left-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,72',5:1,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,14,11/30/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,78',1:2,Penalty,Not Applicable,Polaco
Bundesliga ,14,11/30/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,90'+4,1:3,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,12/11/13,Away,Borussia Dortmund,Olympique Marseille,1:2,CF,4',0:1,Left-footed shot,Erik Durm,Polaco
Bundesliga ,20,2/8/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,26',0:1,Right-footed shot,Marcel Schmelzer,Polaco
Bundesliga ,20,2/8/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,85',0:5,Right-footed shot,Jonas Hofmann,Polaco
Bundesliga ,21,2/15/14,Home,Borussia Dortmund,Eintracht Frankfurt,4:0,CF,47',3:0,Penalty,Not Applicable,Polaco
Champions League ,last 16,2/25/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,61',1:3,Right-footed shot,Lukasz Piszczek,Polaco
Champions League ,last 16,2/25/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,71',2:4,Right-footed shot,Marco Reus,Polaco
Bundesliga ,23,3/1/14,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,64',2:0,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,26,3/22/14,Away,Borussia Dortmund,Hannover 96,0:3,CF,52',0:2,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,29,4/5/14,Home,Borussia Dortmund,VfL Wolfsburg,2:1,CF,51',1:1,Header,Marco Reus,Polaco
DFB-Pokal ,Semi-Finals,4/15/14,Home,Borussia Dortmund,VfL Wolfsburg,2:0,CF,43',2:0,Left-footed shot,Marco Reus,Polaco
Bundesliga ,31,4/19/14,Home,Borussia Dortmund,1.FSV Mainz 05,4:2,CF,18',2:1,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,34,5/10/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,41',0:1,Right-footed shot,Mats Hummels,Polaco
Bundesliga ,34,5/10/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,80',0:3,Direct free kick,Not Applicable,Polaco
Bundesliga ,2,8/30/14,Away,Bayern Munich,FC Schalke 04,1:1,CF,10',0:1,Right-footed shot,Sebastian Rode,Polaco
Bundesliga ,5,9/23/14,Home,Bayern Munich,SC Paderborn 07,4:0,CF,14',2:0,Right-footed shot,Philipp Lahm,Polaco
Bundesliga ,7,10/4/14,Home,Bayern Munich,Hannover 96,4:0,CF,6',1:0,Right-footed shot,Rafinha,Polaco
Bundesliga ,7,10/4/14,Home,Bayern Munich,Hannover 96,4:0,CF,38',3:0,Right-footed shot,Xherdan Shaqiri,Polaco
Champions League ,Group Stage,10/21/14,Away,Bayern Munich,AS Roma,1:7,CF,25',0:3,Header,Juan Bernat,Polaco
DFB-Pokal ,Second Round,10/29/14,Away,Bayern Munich,Hamburger SV,1:3,CF,7',0:1,Right-footed shot,Not Applicable,Polaco
Bundesliga ,10,11/1/14,Home,Bayern Munich,Borussia Dortmund,2:1,CF,72',1:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,12,11/22/14,Home,Bayern Munich,TSG 1899 Hoffenheim,4:0,CF,39',2:0,Header,Arjen Robben,Polaco
Champions League ,Group Stage,11/25/14,Away,Bayern Munich,Manchester City,3:2,CF,45',1:2,Header,Jérôme Boateng,Polaco
Bundesliga ,15,12/13/14,Away,Bayern Munich,FC Augsburg,0:4,CF,68',0:3,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,21,2/14/15,Home,Bayern Munich,Hamburger SV,8:0,LW,56',6:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,22,2/21/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,24',0:1,Right-footed shot,Arjen Robben,Polaco
Bundesliga ,22,2/21/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,37',0:2,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,23,2/27/15,Home,Bayern Munich,1. FC Köln,4:1,CF,75',4:1,Chest,Arjen Robben,Polaco
Champions League ,last 16,3/11/15,Home,Bayern Munich,Shakhtar Donetsk,7:0,CF,75',6:0,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,25,3/14/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,76',0:3,Header,Thomas Müller,Polaco
Bundesliga ,25,3/14/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,90'+1,0:4,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,27,4/4/15,Away,Bayern Munich,Borussia Dortmund,0:1,CF,36',0:1,Header,Thomas Müller,Polaco
Bundesliga ,28,4/11/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,15',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,28,4/11/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,66',2:0,Header,Mario Götze,Polaco
Champions League ,Quarter-Finals,4/21/15,Home,Bayern Munich,FC Porto,6:1,CF,27',3:0,Header,Thomas Müller,Polaco
Champions League ,Quarter-Finals,4/21/15,Home,Bayern Munich,FC Porto,6:1,CF,40',5:0,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Semi-Finals,4/28/15,Home,Bayern Munich,Borussia Dortmund,1:3,CF,29',1:0,Right-footed shot,Medhi Benatia,Polaco
Champions League ,Semi-Finals,5/12/15,Home,Bayern Munich,FC Barcelona,3:2,CF,59',2:2,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,34,5/23/15,Home,Bayern Munich,1.FSV Mainz 05,2:0,CF,25',1:0,Penalty,Not Applicable,Polaco
DFB-Pokal ,First Round,8/9/15,Away,Bayern Munich,FC Nöttingen,1:3,CF,26',1:3,Left-footed shot,Not Applicable,Polaco
Bundesliga ,1,8/14/15,Home,Bayern Munich,Hamburger SV,5:0,CF,53',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,2,8/22/15,Away,Bayern Munich,TSG 1899 Hoffenheim,1:2,CF,90',1:2,Right-footed shot,Douglas Costa,Polaco
Bundesliga ,4,9/12/15,Home,Bayern Munich,FC Augsburg,2:1,CF,77',1:1,Tap-in,Thomas Müller,Polaco
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,51',1:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,52',2:1,Right-footed shot,Douglas Costa,Polaco
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,55',3:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,57',4:1,Right-footed shot,Douglas Costa,Polaco
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,60',5:1,Right-footed shot,Mario Götze,Polaco
