M2,AMBIENTES,ANTIGUEDAD,BAÑOS,LATITUD,LONGITUD,COMUNA,DOLARES
61,3,9,1,-34.557708374382855,-58.4718327868042,COMUNA 12,149000
76,3,50,1,-34.62950120806612,-58.4625067389004,COMUNA 07,148000
76,3,50,1,-34.62950120806612,-58.4625067389004,COMUNA 07,148000
70,2,20,1,-34.5701762126893,-58.432228786947384,COMUNA 14,184900
127,3,11,2,-34.538944334483965,-58.46638188475069,COMUNA 13,285000
70,2,20,1,-34.5701762126893,-58.432228786947384,COMUNA 14,184900
57,3,20,1,-34.590379237254766,-58.4170824012337,COMUNA 14,155000
40,2,20,1,-34.62008828131723,-58.409157495338974,COMUNA 03,72000
87,3,35,2,-34.605404795987084,-58.40812249200981,COMUNA 03,155000
33,1,20,1,-34.59689001740139,-58.381354054663156,COMUNA 01,65000
75,3,20,2,-34.564563428358326,-58.441156855022456,COMUNA 14,266000
36,1,10,1,-34.58631026908359,-58.424633442490226,COMUNA 14,105000
50,2,50,1,-34.61454718764332,-58.3859606333871,COMUNA 01,85000
50,2,50,1,-34.61454718764332,-58.3859606333871,COMUNA 01,85000
38,1,2,1,-34.58122213802289,-58.490639840206214,COMUNA 12,80000
122,4,30,3,-34.59420380115765,-58.39958368305968,COMUNA 02,386000
70,2,50,1,-34.624335872178705,-58.3739864170654,COMUNA 01,130000
47,2,10,1,-34.57397942467978,-58.436911912617894,COMUNA 14,168000
71,3,10,1,-34.574547856132696,-58.42183644933704,COMUNA 14,265000
114,4,50,1,-34.59035453352745,-58.40866253503682,COMUNA 02,264000
137,3,3,2,-34.54420133096465,-58.46111055734332,COMUNA 13,325000
137,3,3,2,-34.54420133096465,-58.46111055734332,COMUNA 13,325000
77,3,5,2,-34.54892445649827,-58.47030253564858,COMUNA 12,350000
66,3,1,1,-34.569726565339124,-58.476503847560224,COMUNA 12,185000
70,3,20,1,-34.59671472164787,-58.43833247057872,COMUNA 15,160000
55,3,42,1,-34.58851517512684,-58.40103030000157,COMUNA 02,135000
55,3,42,1,-34.58851517512684,-58.40103030000157,COMUNA 02,135000
114,4,50,1,-34.59035453352745,-58.40866253503682,COMUNA 02,264000
114,4,50,1,-34.59035453352745,-58.40866253503682,COMUNA 02,264000
68,3,40,2,-34.62103252988513,-58.38283273450489,COMUNA 01,100000
68,3,40,2,-34.62103252988513,-58.38283273450489,COMUNA 01,100000
73,3,45,1,-34.62922692337676,-58.468855394649594,COMUNA 07,95000
65,2,15,2,-34.5710090381818,-58.43301708912268,COMUNA 14,185000
65,3,20,1,-34.60227664622586,-58.39706403178578,COMUNA 03,140000
33,1,20,1,-34.563307808655274,-58.453942325978545,COMUNA 13,86000
164,2,5,2,-34.5867734166617,-58.43119630742992,COMUNA 14,348000
120,4,5,2,-34.54892445649827,-58.47030253564858,COMUNA 12,400000
42,2,20,1,-34.57013946414853,-58.47902646121276,COMUNA 12,85000
55,2,50,1,-34.62636025404084,-58.38016743758232,COMUNA 01,68000
87,3,20,1,-34.600947755552724,-58.40462607292323,COMUNA 03,180000
133,4,20,2,-34.56638817378562,-58.46306539999792,COMUNA 13,380000
250,6,50,4,-34.56974912120637,-58.43517664702542,COMUNA 14,500000
45,3,20,1,-34.61239958810804,-58.40693146488027,COMUNA 03,75000
47,2,5,1,-34.61308839833074,-58.43281963261564,COMUNA 06,116000
133,4,35,3,-34.56440596488949,-58.43725119283553,COMUNA 14,439000
80,3,20,1,-34.59628884847896,-58.426997346748564,COMUNA 15,159000
34,1,2,1,-34.612164597908894,-58.477233950807324,COMUNA 11,75000
30,1,20,1,-34.572216737577094,-58.43280609175678,COMUNA 14,96000
42,2,35,1,-34.55833481029826,-58.4479518051211,COMUNA 13,90000
58,4,35,1,-34.57892643225914,-58.41347138279092,COMUNA 14,225000
85,3,5,1,-34.578360784751624,-58.47078605459341,COMUNA 15,250000
64,4,60,1,-34.601450951560615,-58.444632299591554,COMUNA 15,116000
47,2,58,1,-34.60237627802768,-58.51176249814969,COMUNA 11,79000
43,2,20,1,-34.55086417138335,-58.461075110517385,COMUNA 13,80000
44,2,20,1,-34.589391492722264,-58.40182722213816,COMUNA 02,120000
32,1,20,1,-34.61220126882695,-58.43027585345508,COMUNA 06,61000
94,4,55,1,-34.58759494953046,-58.387294846843396,COMUNA 02,350000
97,4,40,2,-34.579412575102204,-58.42432511876203,COMUNA 14,224000
90,4,20,1,-34.604308339996074,-58.38943610433317,COMUNA 01,185000
43,2,2,1,-34.60888336950529,-58.44133939542218,COMUNA 06,95000
165,5,20,3,-34.61872631259565,-58.43137099943215,COMUNA 06,435000
86,3,30,2,-34.5907412607059,-58.421321220058616,COMUNA 14,215000
38,2,40,1,-34.56087772395843,-58.45212661110445,COMUNA 13,90000
80,4,20,2,-34.57482606420913,-58.46116446597864,COMUNA 13,175000
55,2,20,1,-34.60888336950529,-58.44133939542218,COMUNA 06,89000
37,1,5,1,-34.626669199970124,-58.42396391304897,COMUNA 05,89000
57,2,35,1,-34.614953307503555,-58.425859072271614,COMUNA 05,95000
32,1,4,1,-34.644680122075904,-58.37332803805634,COMUNA 04,84000
60,2,1,1,-34.62449645115548,-58.373859055144116,COMUNA 01,134000
51,2,4,1,-34.644680122075904,-58.37332803805634,COMUNA 04,153000
72,3,20,1,-34.60359720425221,-58.46825609218422,COMUNA 11,136000
35,2,5,1,-34.57037927890833,-58.43409682897367,COMUNA 14,127000
51,3,50,1,-34.59545044288314,-58.406784698209044,COMUNA 02,165000
68,3,30,1,-34.604096723168034,-58.41458446491726,COMUNA 05,136000
68,3,42,2,-34.604153470252946,-58.4116304944073,COMUNA 03,140000
84,4,40,2,-34.59803575341458,-58.41315777114228,COMUNA 05,187000
84,4,40,2,-34.59803575341458,-58.41315777114228,COMUNA 05,187000
33,2,5,1,-34.604890040797116,-58.415762818085014,COMUNA 05,91000
33,2,5,1,-34.604890040797116,-58.415762818085014,COMUNA 05,91000
47,2,3,1,-34.598986495071905,-58.417288262392596,COMUNA 05,146000
42,2,3,1,-34.60420834440572,-58.413072679874325,COMUNA 03,85000
42,2,3,1,-34.60420834440572,-58.413072679874325,COMUNA 03,87000
53,3,30,1,-34.604096723168034,-58.41458446491726,COMUNA 05,128000
36,2,30,1,-34.549373162254,-58.462379537915105,COMUNA 13,105000
37,2,30,1,-34.607834819962676,-58.38915874071,COMUNA 01,69000
110,4,20,1,-34.568154890339024,-58.44433159379713,COMUNA 14,295000
141,4,20,2,-34.616690193632444,-58.43587241282106,COMUNA 06,290000
22,2,48,1,-34.589290073455984,-58.39091435098016,COMUNA 02,70000
46,2,46,1,-34.60313310564511,-58.390722300158174,COMUNA 01,85000
48,2,20,1,-34.59706465393334,-58.38568734755976,COMUNA 01,159000
46,2,1,1,-34.614548944221035,-58.47904798477174,COMUNA 11,93000
64,3,15,2,-34.553523483498076,-58.46628822870441,COMUNA 13,159000
56,3,40,1,-34.618736946336796,-58.400817466493905,COMUNA 03,104000
97,4,45,2,-34.58354433247337,-58.40216009234352,COMUNA 02,245000
31,2,64,1,-34.60180472500425,-58.38807358783789,COMUNA 01,67000
62,2,30,2,-34.597958650238574,-58.372712242179354,COMUNA 01,110000
35,1,5,1,-34.572338814985606,-58.484330083898534,COMUNA 12,74000
290,3,20,1,-34.56123613522237,-58.46003981598732,COMUNA 13,248000
45,2,6,1,-34.571929803286594,-58.448623214277326,COMUNA 13,109000
57,2,10,1,-34.59254217636703,-58.4078397595909,COMUNA 02,165000
110,4,50,2,-34.59210654709929,-58.39980401080005,COMUNA 02,285000
63,3,40,1,-34.605196578180305,-58.4134956554111,COMUNA 05,110000
60,3,10,1,-34.63571577334248,-58.4023755122159,COMUNA 04,138000
300,5,35,3,-34.57720524759145,-58.407068772715924,COMUNA 14,1200000
177,4,35,4,-34.56087772395843,-58.45212661110445,COMUNA 13,450000
41,2,2,1,-34.56296902365715,-58.467388221724775,COMUNA 13,81000
52,2,5,1,-34.5944997635855,-58.39820952517377,COMUNA 02,174000
63,3,35,1,-34.615310895090865,-58.409559182643186,COMUNA 03,110000
63,3,35,1,-34.615310895090865,-58.409559182643186,COMUNA 03,110000
140,4,35,2,-34.636552366168736,-58.40199073003587,COMUNA 04,235000
84,4,40,2,-34.59803575341458,-58.41315777114228,COMUNA 05,187000
52,2,5,1,-34.5944997635855,-58.39820952517377,COMUNA 02,174000
31,2,10,1,-34.58413817215294,-58.434632411775134,COMUNA 14,83000
49,2,5,1,-34.55823633231698,-58.44294122724243,COMUNA 13,163900
36,1,2,1,-34.57827683986401,-58.495227287218974,COMUNA 12,74000
72,4,33,1,-34.62312823661966,-58.457535921458366,COMUNA 07,149500
56,3,20,1,-34.56783680798839,-58.45022030759354,COMUNA 13,165000
71,3,50,1,-34.62068870019484,-58.436249380943906,COMUNA 06,145000
38,2,20,1,-34.58994083411622,-58.41484120145664,COMUNA 14,97000
73,3,35,1,-34.553233069897786,-58.44893839035014,COMUNA 13,230000
65,2,1,1,-34.582585539420464,-58.4235535153899,COMUNA 14,157500
70,2,1,1,-34.582585539420464,-58.4235535153899,COMUNA 14,149000
70,2,1,1,-34.582585539420464,-58.4235535153899,COMUNA 14,149000
192,5,20,3,-34.58910056435755,-58.40561609883867,COMUNA 02,465000
192,5,20,3,-34.58910056435755,-58.40561609883867,COMUNA 02,465000
49,3,20,1,-34.623547668876185,-58.48392612888985,COMUNA 11,85000
67,3,50,1,-34.58579468453535,-58.43827121926729,COMUNA 14,135000
38,1,20,1,-34.61631863885183,-58.40450557705761,COMUNA 03,55000
66,3,8,1,-34.55874825788732,-58.462386294541986,COMUNA 13,210000
82,2,20,1,-34.60950977919434,-58.477597725295325,COMUNA 11,150000
150,3,2,2,-34.55387791480279,-58.45010524820598,COMUNA 13,650000
40,2,10,1,-34.62135833050624,-58.43633484547962,COMUNA 06,91000
120,4,20,2,-34.59105653437181,-58.39290926255061,COMUNA 02,350000
63,3,1,1,-34.582585539420464,-58.4235535153899,COMUNA 14,205500
74,3,20,1,-34.623035182897056,-58.427496301953894,COMUNA 05,125000
53,2,20,1,-34.61901357095436,-58.42424210749041,COMUNA 05,93000
70,3,40,1,-34.617207344305896,-58.438499895954635,COMUNA 06,135000
70,3,40,1,-34.617207344305896,-58.438499895954635,COMUNA 06,135000
114,4,60,2,-34.618979145410826,-58.39027952392485,COMUNA 01,229000
58,2,20,1,-34.63195570586928,-58.44347016573906,COMUNA 07,110000
55,3,50,1,-34.62834391104432,-58.4515093178537,COMUNA 06,109000
83,4,40,1,-34.62589353863856,-58.45147211405956,COMUNA 06,153000
123,4,10,2,-34.62371087988436,-58.440699109488314,COMUNA 06,389000
44,2,60,1,-34.616918225452025,-58.44449666229612,COMUNA 06,85000
52,2,20,1,-34.628815706168034,-58.48088385818889,COMUNA 10,75000
69,2,5,1,-34.61051401219717,-58.3626920170228,COMUNA 01,305000
67,3,9,2,-34.62857835022637,-58.45235116084743,COMUNA 06,183000
75,2,5,1,-34.61051401219717,-58.3626920170228,COMUNA 01,310000
36,2,3,1,-34.60888336950529,-58.44133939542218,COMUNA 06,96000
74,3,80,1,-34.62095926960638,-58.43088739422553,COMUNA 06,125000
48,3,35,1,-34.56874622794583,-58.43440152425727,COMUNA 14,125000
440,5,60,4,-34.587763686228016,-58.38917857881484,COMUNA 02,1800000
77,2,10,1,-34.57194384279869,-58.42944153149124,COMUNA 14,275000
203,5,50,2,-34.61150487454707,-58.393261469121846,COMUNA 03,298000
42,2,1,1,-34.610457251106126,-58.44804084094797,COMUNA 06,106250
